state,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,NumChild,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
North Dakota,378,378,378,378,378,378,378,378,378,378,1,589,589,589,364,333,333,333,333,333,326,326,326,313,301,301,301,301,301,289,289,270,270,247,235,235,235,220
Ohio,305,305,305,305,305,305,305,305,305,305,1,305,305,296,296,279,279,279,279,279,274,274,274,263,253,253,248,238,227,216,216,216,216,216,192,176,168,168
Oklahoma,225,225,225,225,225,225,225,225,225,225,1,225,225,225,225,238,238,238,251,251,251,264,252,252,252,240,240,225,218,218,218,218,218,218,198,188,183,173
Oregon,395,395,395,395,395,395,395,395,395,395,1,395,395,395,395,395,395,395,395,395,395,380,380,359,359,352,338,338,312,303,286,286,374,343,271,277,273,261
Pennsylvania,316,316,316,316,316,316,316,316,316,316,1,316,316,316,316,316,316,316,316,316,316,316,330,330,301,287,287,273,273,262,262,262,273,260,260,260,260,243
Puerto Rico,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,156,56,156,156,56,56,56,56,56,56,56,56,56,56,64,78,78,78,78,78,78
Rhode Island,449,449,449,449,449,449,449,449,449,449,1,449,449,449,449,449,449,449,449,449,449,449,449,440,419,388,357,331,312,299,298,298,276,276,255,255,255,233
South Carolina,483,483,483,483,483,483,483,483,483,483,1,460,460,422,422,417,417,350,350,350,350,350,350,335,322,308,302,294,144,144,144,102,144,144,144,138,138,138
South Dakota,432,432,432,432,432,432,432,432,432,432,1,380,380,380,380,448,448,448,448,448,420,357,340,333,323,323,323,286,286,280,280,280,280,280,259,252,252,248
Tennessee,723,723,723,723,723,723,723,723,723,723,1,709,708,671,643,600,600,504,407,327,327,327,316,297,280,272,119,117,106,101,101,97,97,97,97,91,142,142
Texas,180,180,180,180,180,180,180,180,180,180,1,174,174,163,163,163,163,163,163,158,158,158,158,158,158,158,158,158,144,128,85,85,86,86,86,86,86,86
Utah,380,380,380,380,380,380,380,380,380,380,1,380,362,456,456,456,456,456,456,332,431,431,431,414,402,556,556,556,546,531,289,278,278,253,243,229,216,199
Vermont,533,533,533,533,533,533,533,533,533,533,1,525,518,518,508,554,497,507,514,524,523,567,556,547,527,505,457,440,440,418,409,409,410,385,345,293,274,265
